cash,date,equity,future_expiry,future_mark,future_qty,margin_headroom,margin_required,option_expiry,option_mark,option_qty,option_strike,option_type,recovery_basis,spot
28354915.211105946,2021-10-07,28307972.711105946,,0,0,717415.2111059465,27637500.0,2021-10-28,28.45,1650,16750.0,put,0.0,17790.35
28362228.978918336,2021-10-08,28328238.978918336,,0,0,724728.9789183363,27637500.0,2021-10-28,20.6,1650,16750.0,put,0.0,17895.2
28369544.633218452,2021-10-11,28337452.133218452,,0,0,732044.6332184523,27637500.0,2021-10-28,19.45,1650,16750.0,put,0.0,17945.95
28376862.174492892,2021-10-12,28348729.674492892,,0,0,739362.1744928919,27637500.0,2021-10-28,17.05,1650,16750.0,put,0.0,17991.95
28384181.603228375,2021-10-13,28359266.603228375,,0,0,746681.6032283753,27637500.0,2021-10-28,15.1,1650,16750.0,put,0.0,18161.75
28391502.919911746,2021-10-14,28374672.919911746,,0,0,754002.9199117459,27637500.0,2021-10-28,10.2,1650,16750.0,put,0.0,18338.55
28398826.125029977,2021-10-18,28383976.125029977,,0,0,761326.1250299774,27637500.0,2021-10-28,9.0,1650,16750.0,put,0.0,18477.05
28406151.219070163,2021-10-19,28391383.719070163,,0,0,768651.2190701626,27637500.0,2021-10-28,8.95,1650,16750.0,put,0.0,18418.75
28413478.202519525,2021-10-20,28402588.202519525,,0,0,775978.2025195248,27637500.0,2021-10-28,6.6,1650,16750.0,put,0.0,18266.6
28420807.075865414,2021-10-21,28417507.075865414,,0,0,783307.075865414,27637500.0,2021-10-28,2.0,1650,16750.0,put,0.0,18178.1
28428137.8395953,2021-10-22,28425662.8395953,,0,0,790637.8395952992,27637500.0,2021-10-28,1.5,1650,16750.0,put,0.0,18114.9
28435470.494196784,2021-10-25,28433737.994196784,,0,0,797970.4941967838,27637500.0,2021-10-28,1.05,1650,16750.0,put,0.0,18125.4
28442805.04015759,2021-10-26,28441567.54015759,,0,0,805305.0401575901,27637500.0,2021-10-28,0.75,1650,16750.0,put,0.0,18268.4
28450141.477965567,2021-10-27,28449481.477965567,,0,0,812641.4779655673,27637500.0,2021-10-28,0.4,1650,16750.0,put,0.0,18210.95
28457479.808108695,2021-10-28,28457479.808108695,,0,0,28457479.808108695,0.0,,0,0,,,0.0,17857.25
28602794.393433046,2021-10-29,28464359.393433046,,0,0,635294.3934330456,27967500.0,2021-11-25,83.9,1650,16950.0,put,0.0,17671.65
28610172.098336115,2021-11-01,28546482.098336115,,0,0,642672.0983361155,27967500.0,2021-11-25,38.6,1650,16950.0,put,0.0,17929.65
28617551.706218623,2021-11-02,28555676.706218623,,0,0,650051.7062186226,27967500.0,2021-11-25,37.5,1650,16950.0,put,0.0,17888.95
28624933.21757142,2021-11-03,28569163.21757142,,0,0,657433.2175714187,27967500.0,2021-11-25,33.8,1650,16950.0,put,0.0,17829.2
28632316.632885475,2021-11-04,28590571.632885475,,0,0,664816.6328854747,27967500.0,2021-11-25,25.3,1650,16950.0,put,0.0,17916.8
28639701.95265189,2021-11-08,28617261.95265189,,0,0,672201.9526518919,27967500.0,2021-11-25,13.6,1650,16950.0,put,0.0,18068.55
28647089.1773619,2021-11-09,28624484.1773619,,0,0,679589.1773619018,27967500.0,2021-11-25,13.7,1650,16950.0,put,0.0,18044.25
28654478.307506856,2021-11-10,28633275.807506856,,0,0,686978.3075068556,27967500.0,2021-11-25,12.85,1650,16950.0,put,0.0,18017.2
28661869.343578238,2021-11-11,28639429.343578238,,0,0,694369.343578238,27967500.0,2021-11-25,13.6,1650,16950.0,put,0.0,17873.6
28669262.286067653,2021-11-12,28660434.786067653,,0,0,701762.2860676534,27967500.0,2021-11-25,5.35,1650,16950.0,put,0.0,18102.75
28676657.135466836,2021-11-15,28665107.135466836,,0,0,709157.1354668364,27967500.0,2021-11-25,7.0,1650,16950.0,put,0.0,18109.45
