date,nifty_tr,synthetic_nifty_wheel
2021-10-29,29643893.049179293,26193343.060838584
2021-11-01,30076686.73081501,26261293.060838584
2021-11-02,30012008.074011374,26262943.060838584
2021-11-03,29911814.06143712,26268493.060838584
2021-11-04,30058788.676029414,26281243.060838584
2021-11-08,30313327.090460625,26298793.060838584
2021-11-09,30272606.09130464,26298643.060838584
2021-11-10,30227205.86213935,26299918.060838584
2021-11-11,29993068.890548714,26298793.060838584
2021-11-12,30377584.616563417,26311168.060838584
2021-11-15,30388803.07051073,26308693.060838584
2021-11-16,30203833.108242873,26311018.060838584
2021-11-17,30035041.583732184,26310868.060838584
2021-11-18,29810473.637510575,26312143.060838584
2021-11-22,29233805.331163727,26294143.060838584
2021-11-23,29379504.855578486,26310793.060838584
2021-11-24,29231360.433483865,26314843.060838584
2021-11-25,29434778.260063414,26319193.060838584
2021-11-26,28579017.279811516,26318084.926923584
2021-11-29,28625177.883853324,26346372.426923584
2021-11-30,28506489.21466728,26314519.926923584
2021-12-01,28814768.585755367,26421237.426923584
2021-12-02,29208818.242914036,26500519.926923584
2021-12-03,28864801.252629872,26451772.426923584
2021-12-06,28387379.414780397,26316379.926923584
2021-12-07,28831286.26768822,26470604.926923584
2021-12-08,29323120.133966353,26543687.426923584
2021-12-09,29402210.819198642,26562984.926923584
2021-12-10,29392864.05725506,26578717.426923584
2021-12-13,29152796.16162762,26567402.426923584
2021-12-14,29079999.040757846,26555079.926923584
2021-12-15,28906294.32473739,26539114.926923584
2021-12-16,28951577.57315244,26575152.426923584
2021-12-17,28509811.467973884,26509897.426923584
2021-12-20,27887052.74603537,26307312.426923584
2021-12-21,28149990.37833329,26446269.926923584
2021-12-22,28469160.65726804,26543067.426923584
2021-12-23,28665840.392634187,26584684.926923584
2021-12-24,28550275.109479357,26575307.426923584
2021-12-27,28688780.31775481,26606074.926923584
2021-12-28,28935562.908445597,26626534.926923584
2021-12-29,28902550.940729946,26631727.426923584
2021-12-30,28886349.106822725,26635757.426923584
2021-12-31,29138395.83127398,26635473.543563586
2022-01-03,29594527.172581114,26667313.543563586
2022-01-04,29895998.264005665,26678593.543563586
