cash,collateral,date,equity,margin_headroom,margin_proxy,option_expiry,option_mark,option_qty,option_strike,option_type,shares,spot,ticker
3616737.893839819,3616737.893839819,2024-03-07,3609762.893839819,2977737.893839819,639000.0,2024-03-28,1.55,4500,710.0,put,0,788.05,SBIN
796647.3680398181,2047647.368039818,2024-03-07,2323647.368039818,1735647.368039818,312000.0,2024-03-28,36.75,1000,1560.0,call,1000,1563.75,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-07,2983456.151011819,2429616.151011819,560000.0,2024-03-28,2.2,2800,1000.0,put,0,1087.95,ICICIBANK
624684.1941418183,2176476.194141818,2024-03-07,2561244.194141818,1744476.1941418182,432000.0,2024-03-28,2.65,1200,1800.0,call,1200,1616.45,INFY
143278.9179405679,2921903.9179405677,2024-03-07,3557497.6679405677,2215653.9179405677,706250.0,2024-03-28,18.9,3125,1130.0,call,3125,1111.45,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-07,3309065.6223998982,2704438.1223998982,609900.0,2024-03-28,1.85,2850,1070.0,put,0,1199.7,BHARTIARTL
562643.5236130677,2488958.523613068,2024-03-07,2956006.023613068,1975208.5236130678,513750.0,2024-03-28,38.75,375,6850.0,call,375,6421.05,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-07,3753393.58970057,3087824.83970057,682500.0,2024-03-28,19.35,875,3900.0,put,0,4108.6,TCS
662478.4103018184,2340606.4103018185,2024-03-07,2748378.4103018185,1903806.4103018185,436800.0,2024-03-28,9.8,1200,1820.0,call,1200,1748.05,KOTAKBANK
503449.6847018185,3084689.6847018185,2024-03-07,3705654.6847018185,2436689.6847018185,648000.0,2024-03-28,27.05,900,3600.0,call,1000,3226.55,ADANIENT
2939663.267994455,2939663.267994455,2024-03-11,2930513.267994455,2383663.267994455,556000.0,2024-03-28,9.15,1000,2780.0,put,0,2933.2,RELIANCE
3616737.893839819,3616737.893839819,2024-03-11,3606837.893839819,2977737.893839819,639000.0,2024-03-28,2.2,4500,710.0,put,0,773.7,SBIN
796647.3680398181,2029487.368039818,2024-03-11,2311847.368039818,1717487.368039818,312000.0,2024-03-28,25.85,1000,1560.0,call,1000,1541.05,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-11,2984156.151011819,2429616.151011819,560000.0,2024-03-28,1.95,2800,1000.0,put,0,1078.7,ICICIBANK
624684.1941418183,2161260.194141818,2024-03-11,2543124.194141818,1729260.1941418182,432000.0,2024-03-28,1.9,1200,1800.0,call,1200,1600.6,INFY
143278.9179405679,2906028.9179405677,2024-03-11,3548435.1679405672,2199778.9179405677,706250.0,2024-03-28,15.45,3125,1130.0,call,3125,1105.1,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-11,3310633.1223998982,2704438.1223998982,609900.0,2024-03-28,1.3,2850,1070.0,put,0,1196.6,BHARTIARTL
562643.5236130677,2492768.523613068,2024-03-11,2961518.523613068,1979018.5236130678,513750.0,2024-03-28,36.75,375,6850.0,call,375,6433.75,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-11,3756193.58970057,3087824.83970057,682500.0,2024-03-28,16.15,875,3900.0,put,0,4122.35,TCS
662478.4103018184,2322942.4103018185,2024-03-11,2729718.4103018185,1886142.4103018185,436800.0,2024-03-28,6.95,1200,1820.0,call,1200,1729.65,KOTAKBANK
503449.6847018185,3069329.6847018185,2024-03-11,3688479.6847018185,2421329.6847018185,648000.0,2024-03-28,24.8,900,3600.0,call,1000,3207.35,ADANIENT
2939663.267994455,2939663.267994455,2024-03-12,2934463.267994455,2383663.267994455,556000.0,2024-03-28,5.2,1000,2780.0,put,0,2950.85,RELIANCE
3616737.893839819,3616737.893839819,2024-03-12,3604137.893839819,2977737.893839819,639000.0,2024-03-28,2.8,4500,710.0,put,0,759.7,SBIN
796647.3680398181,2023087.368039818,2024-03-12,2306397.368039818,1711087.368039818,312000.0,2024-03-28,23.3,1000,1560.0,call,1000,1533.05,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-12,2984156.151011819,2429616.151011819,560000.0,2024-03-28,1.95,2800,1000.0,put,0,1076.85,ICICIBANK
624684.1941418183,2173116.194141818,2024-03-12,2558004.194141818,1741116.1941418182,432000.0,2024-03-28,1.85,1200,1800.0,call,1200,1612.95,INFY
143278.9179405679,2885778.9179405677,2024-03-12,3535153.9179405677,2179528.9179405677,706250.0,2024-03-28,11.6,3125,1130.0,call,3125,1097.0,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-12,3311345.6223998982,2704438.1223998982,609900.0,2024-03-28,1.05,2850,1070.0,put,0,1204.25,BHARTIARTL
562643.5236130677,2493458.523613068,2024-03-12,2963449.773613068,1979708.5236130678,513750.0,2024-03-28,33.9,375,6850.0,call,375,6436.05,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-12,3759474.83970057,3087824.83970057,682500.0,2024-03-28,12.4,875,3900.0,put,0,4192.25,TCS
662478.4103018184,2314014.4103018185,2024-03-12,2720058.4103018185,1877214.4103018185,436800.0,2024-03-28,5.7,1200,1820.0,call,1200,1720.35,KOTAKBANK
503449.6847018185,3001449.6847018185,2024-03-12,3610874.6847018185,2353449.6847018185,648000.0,2024-03-28,16.75,900,3600.0,call,1000,3122.5,ADANIENT
2939663.267994455,2939663.267994455,2024-03-13,2920013.267994455,2383663.267994455,556000.0,2024-03-28,19.65,1000,2780.0,put,0,2864.35,RELIANCE
3616737.893839819,3616737.893839819,2024-03-13,3597612.893839819,2977737.893839819,639000.0,2024-03-28,4.25,4500,710.0,put,0,747.25,SBIN
796647.3680398181,1998767.368039818,2024-03-13,2286747.368039818,1686767.368039818,312000.0,2024-03-28,12.55,1000,1560.0,call,1000,1502.65,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-13,2983736.151011819,2429616.151011819,560000.0,2024-03-28,2.1,2800,1000.0,put,0,1083.95,ICICIBANK
624684.1941418183,2171628.194141818,2024-03-13,2556204.194141818,1739628.1941418182,432000.0,2024-03-28,1.8,1200,1800.0,call,1200,1611.4,INFY
143278.9179405679,2844278.9179405677,2024-03-13,3497341.417940568,2138028.9179405677,706250.0,2024-03-28,7.1,3125,1130.0,call,3125,1080.4,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-13,3309350.6223998982,2704438.1223998982,609900.0,2024-03-28,1.75,2850,1070.0,put,0,1168.75,BHARTIARTL
562643.5236130677,2499488.523613068,2024-03-13,2970331.023613068,1985738.5236130678,513750.0,2024-03-28,35.65,375,6850.0,call,375,6456.15,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-13,3756368.58970057,3087824.83970057,682500.0,2024-03-28,15.95,875,3900.0,put,0,4149.0,TCS
662478.4103018184,2322846.4103018185,2024-03-13,2731518.4103018185,1886046.4103018185,436800.0,2024-03-28,5.35,1200,1820.0,call,1200,1729.55,KOTAKBANK
503449.6847018185,2828409.6847018185,2024-03-13,3399659.6847018185,2180409.6847018185,648000.0,2024-03-28,11.1,900,3600.0,call,1000,2906.2,ADANIENT
2939663.267994455,2939663.267994455,2024-03-14,2924663.267994455,2383663.267994455,556000.0,2024-03-28,15.0,1000,2780.0,put,0,2862.95,RELIANCE
3616737.893839819,3616737.893839819,2024-03-14,3596937.893839819,2977737.893839819,639000.0,2024-03-28,4.4,4500,710.0,put,0,741.05,SBIN
796647.3680398181,1978047.368039818,2024-03-14,2265347.368039818,1666047.368039818,312000.0,2024-03-28,8.05,1000,1560.0,call,1000,1476.75,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-14,2984156.151011819,2429616.151011819,560000.0,2024-03-28,1.95,2800,1000.0,put,0,1083.6,ICICIBANK
624684.1941418183,2211852.194141818,2024-03-14,2606364.194141818,1779852.1941418182,432000.0,2024-03-28,1.9,1200,1800.0,call,1200,1653.3,INFY
143278.9179405679,2788903.9179405677,2024-03-14,3439216.4179405677,2082653.9179405677,706250.0,2024-03-28,3.55,3125,1130.0,call,3125,1058.25,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-14,3311203.1223998982,2704438.1223998982,609900.0,2024-03-28,1.1,2850,1070.0,put,0,1194.6,BHARTIARTL
562643.5236130677,2481878.523613068,2024-03-14,2952743.523613068,1968128.5236130678,513750.0,2024-03-28,23.85,375,6850.0,call,375,6397.45,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-14,3761968.58970057,3087824.83970057,682500.0,2024-03-28,9.55,875,3900.0,put,0,4207.6,TCS
662478.4103018184,2335182.4103018185,2024-03-14,2746338.4103018185,1898382.4103018185,436800.0,2024-03-28,5.85,1200,1820.0,call,1200,1742.4,KOTAKBANK
503449.6847018185,2973409.6847018185,2024-03-14,3581584.6847018185,2325409.6847018185,648000.0,2024-03-28,10.35,900,3600.0,call,1000,3087.45,ADANIENT
2939663.267994455,2939663.267994455,2024-03-15,2922913.267994455,2383663.267994455,556000.0,2024-03-28,16.75,1000,2780.0,put,0,2836.45,RELIANCE
3616737.893839819,3616737.893839819,2024-03-15,3591312.893839819,2977737.893839819,639000.0,2024-03-28,5.65,4500,710.0,put,0,731.9,SBIN
796647.3680398181,1984127.368039818,2024-03-15,2273797.368039818,1672127.368039818,312000.0,2024-03-28,7.2,1000,1560.0,call,1000,1484.35,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-15,2984716.151011819,2429616.151011819,560000.0,2024-03-28,1.75,2800,1000.0,put,0,1080.35,ICICIBANK
624684.1941418183,2193324.194141818,2024-03-15,2583684.194141818,1761324.1941418182,432000.0,2024-03-28,1.5,1200,1800.0,call,1200,1634.0,INFY
143278.9179405679,2759278.9179405677,2024-03-15,3405622.667940568,2053028.9179405677,706250.0,2024-03-28,2.45,3125,1130.0,call,3125,1046.4,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-15,3311773.1223998982,2704438.1223998982,609900.0,2024-03-28,0.9,2850,1070.0,put,0,1220.0,BHARTIARTL
562643.5236130677,2516948.523613068,2024-03-15,2992924.773613068,2003198.5236130678,513750.0,2024-03-28,33.6,375,6850.0,call,375,6514.35,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-15,3762668.58970057,3087824.83970057,682500.0,2024-03-28,8.75,875,3900.0,put,0,4219.25,TCS
662478.4103018184,2331246.4103018185,2024-03-15,2743578.4103018185,1894446.4103018185,436800.0,2024-03-28,4.05,1200,1820.0,call,1200,1738.3,KOTAKBANK
503449.6847018185,3009209.6847018185,2024-03-15,3627054.6847018185,2361209.6847018185,648000.0,2024-03-28,9.55,900,3600.0,call,1000,3132.2,ADANIENT
2939663.267994455,2939663.267994455,2024-03-18,2932713.267994455,2383663.267994455,556000.0,2024-03-28,6.95,1000,2780.0,put,0,2878.95,RELIANCE
3616737.893839819,3616737.893839819,2024-03-18,3596262.893839819,2977737.893839819,639000.0,2024-03-28,4.55,4500,710.0,put,0,730.95,SBIN
796647.3680398181,1981207.368039818,2024-03-18,2272347.368039818,1669207.368039818,312000.0,2024-03-28,5.0,1000,1560.0,call,1000,1480.7,INDUSINDBK
2989616.151011819,2989616.151011819,2024-03-18,2986396.151011819,2429616.151011819,560000.0,2024-03-28,1.15,2800,1000.0,put,0,1081.2,ICICIBANK
624684.1941418183,2163228.194141818,2024-03-18,2546904.194141818,1731228.1941418182,432000.0,2024-03-28,0.8,1200,1800.0,call,1200,1602.65,INFY
143278.9179405679,2796653.9179405677,2024-03-18,3452810.1679405672,2090403.9179405677,706250.0,2024-03-28,2.3,3125,1130.0,call,3125,1061.35,AXISBANK
3314338.1223998982,3314338.1223998982,2024-03-18,3312058.1223998982,2704438.1223998982,609900.0,2024-03-28,0.8,2850,1070.0,put,0,1225.3,BHARTIARTL
562643.5236130677,2514038.523613068,2024-03-18,2993074.773613068,2000288.5236130678,513750.0,2024-03-28,23.5,375,6850.0,call,375,6504.65,BAJFINANCE
3770324.83970057,3770324.83970057,2024-03-18,3756281.08970057,3087824.83970057,682500.0,2024-03-28,16.05,875,3900.0,put,0,4152.5,TCS
