ticker,expiry,lot_size,method
BAJFINANCE,2021-06-24,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-07-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-08-26,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-09-30,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-10-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-11-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2021-12-30,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-01-27,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-02-24,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-03-31,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-04-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-05-26,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-06-30,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-07-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-08-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-09-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-10-27,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-11-24,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2022-12-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-01-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-02-23,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-03-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-04-27,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-05-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-06-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-07-27,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-08-31,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-09-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-10-26,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-11-30,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2023-12-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-01-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-02-29,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-03-28,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-04-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-05-30,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-06-27,125,legacy NSE turnover estimate validated by open-interest divisibility
BAJFINANCE,2024-07-25,125,legacy NSE turnover estimate validated by open-interest divisibility
BHARTIARTL,2020-01-30,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-02-27,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-03-26,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-04-30,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-05-28,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-06-25,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-07-30,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-08-27,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-09-24,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-10-29,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-11-26,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2020-12-31,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-01-28,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-02-25,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-03-25,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-04-29,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-05-27,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-06-24,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-07-29,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-08-26,1851,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-09-30,1886,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-10-28,1886,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-11-25,1886,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2021-12-30,1886,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-01-27,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-02-24,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-03-31,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-04-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-05-26,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-06-30,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-07-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-08-25,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-09-29,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-10-27,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-11-24,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2022-12-29,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-01-25,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-02-23,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-03-29,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-04-27,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-05-25,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-06-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-06-29,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-07-27,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-08-31,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-09-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-10-26,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-11-30,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2023-12-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-01-25,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-02-29,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-03-28,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-04-25,950,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-05-30,475,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-06-27,475,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-07-25,475,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-08-29,475,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
BHARTIARTL,2024-09-26,475,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
ICICIBANK,2020-01-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-02-27,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-03-26,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-04-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-05-28,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-06-25,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-07-30,1375,legacy NSE turnover estimate validated by open-interest divisibility
ICICIBANK,2020-09-24,1375,legacy NSE turnover estimate validated by open-interest divisibility
