date,ticker,dividend_per_share,source,nse_subject
2022-08-08,ICICIBANK,5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ICICIBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 5 Per Share
2022-08-11,INDUSINDBK,8.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 8.5 per share
2022-08-11,KOTAKBANK,1.1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=KOTAKBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.10 Per Share
2022-08-18,RELIANCE,8,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 8 Per Share
2022-10-17,TCS,8,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 8 Per Share
2022-10-27,INFY,16.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 16.50 Per Share
2023-01-16,TCS,75,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share
2023-05-31,SBIN,11.3,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 11.30 Per Share
2023-06-02,INDUSINDBK,14,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 14 per share
2023-06-02,INFY,17.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Annual General Meeting/Dividend - Rs 17.50 Per Share
2023-06-15,TCS,24,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 24 Per Share
2023-06-30,BAJFINANCE,30,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 30 Per Share
2023-07-07,ADANIENT,1.2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.20 Per Share
2023-07-07,AXISBANK,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=AXISBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 1 Per Share
2023-07-20,TCS,9,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 9 Per Share
2023-08-04,KOTAKBANK,1.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=KOTAKBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.50 Per Sh
2023-08-09,ICICIBANK,8,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ICICIBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 8 Per Share
2023-08-10,BHARTIARTL,4,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 4 per share
2023-08-21,RELIANCE,9,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 9 Per Share
2023-10-19,TCS,9,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 9 Per Share
2023-10-25,INFY,18,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 18 Per Share
2024-01-19,TCS,27,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share
2024-05-16,TCS,28,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 28 Per Share
2024-05-22,SBIN,13.7,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 13.70 Per Share
2024-05-31,INFY,28,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share
2024-06-14,ADANIENT,1.3,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.30 Per Share
2024-06-21,BAJFINANCE,36,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 36 Per Share
2024-06-28,INDUSINDBK,16.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 16.5 per share
2024-07-12,AXISBANK,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=AXISBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 1 Per Share
2024-07-19,KOTAKBANK,2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=KOTAKBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 2 Per Share
2024-07-19,TCS,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 10 Per Share
2024-08-06,BHARTIARTL,8,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 8 per share
2024-08-12,ICICIBANK,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ICICIBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 10 Per Share
2024-08-19,RELIANCE,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 10 Per Share
2024-10-18,TCS,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 10 Per Share
2024-10-29,INFY,21,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 21 Per Share
2025-01-17,TCS,76,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 10 Per Share Special Dividend - Rs 66 Per Share
2025-05-09,BAJFINANCE,12,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Special Dividend - Rs 12 Per Share
2025-05-16,SBIN,15.9,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 15.90 Per Share
2025-05-30,BAJFINANCE,44,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 44 Per Share
2025-05-30,INFY,22,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 22 Per Share
2025-06-04,TCS,30,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 30 Per Share
2025-06-13,ADANIENT,1.3,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.30 Per Share
2025-07-04,AXISBANK,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=AXISBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 1 Per Sh
2025-07-16,TCS,11,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 11 Per Share
2025-07-17,BHARTIARTL,16,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 16 per share
2025-07-18,KOTAKBANK,2.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=KOTAKBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 2.50 Per Share
2025-08-11,JIOFIN,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=JIOFIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 0.50 Per Share
2025-08-12,ICICIBANK,11,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ICICIBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 11 Per Share
2025-08-14,RELIANCE,5.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 5.5 Per Share
2025-10-15,TCS,11,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 11 Per Share
2025-10-27,INFY,23,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 23 Per Share
2026-01-16,TCS,57,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share
2026-05-15,SBIN,17.35,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 17.35 Per Share
2026-05-25,TCS,31,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 31 Per Share
2026-06-05,RELIANCE,6,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 6 Per Share
2026-06-10,INFY,25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 25 Per Share
2026-06-12,ADANIENT,1.3,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1.30 Per Share
2026-06-25,INDUSINDBK,1.5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 1.5 per share
2026-06-30,BAJFINANCE,6,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 6 Per Share
